"";"id";"dataReferencia";"valor";"quantidadeBeneficiados";"municipio.codigoIBGE";"municipio.nomeRegiao";"municipio.uf.nome";"nome_munic"
"77";101501646;"2020-08-01";6226200;8783;"2900801";"NORDESTE";"BAHIA";"Alcobaça"
"78";112601604;"2020-09-01";4231847;8781;"2900801";"NORDESTE";"BAHIA";"Alcobaça"
"79";102301652;"2020-10-01";2773562;8038;"2900801";"NORDESTE";"BAHIA";"Alcobaça"
"80";104101857;"2020-11-01";3538531;8335;"2900801";"NORDESTE";"BAHIA";"Alcobaça"
"81";113501700;"2020-12-01";3300727;8201;"2900801";"NORDESTE";"BAHIA";"Alcobaça"
"82";104801878;"2020-04-01";1597800;2182;"2900900";"NORDESTE";"BAHIA";"Almadina"
"83";112101826;"2020-05-01";1657800;2252;"2900900";"NORDESTE";"BAHIA";"Almadina"
"84";102101885;"2020-06-01";1387800;1861;"2900900";"NORDESTE";"BAHIA";"Almadina"
"85";107601574;"2020-07-01";1675200;2288;"2900900";"NORDESTE";"BAHIA";"Almadina"
"86";101401607;"2020-08-01";1561200;2127;"2900900";"NORDESTE";"BAHIA";"Almadina"
"87";109901549;"2020-09-01";751267;2049;"2900900";"NORDESTE";"BAHIA";"Almadina"
"88";110701564;"2020-10-01";553425;1969;"2900900";"NORDESTE";"BAHIA";"Almadina"
"89";113101744;"2020-11-01";668182;2011;"2900900";"NORDESTE";"BAHIA";"Almadina"
"90";114901768;"2020-12-01";641552;1998;"2900900";"NORDESTE";"BAHIA";"Almadina"
"91";112801860;"2020-04-01";9115800;13131;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"92";107201529;"2020-05-01";9700200;13879;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"93";103601625;"2020-06-01";7078800;9899;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"94";112201709;"2020-07-01";9684600;13957;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"95";113701652;"2020-08-01";8770800;12543;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"96";103401617;"2020-09-01";5824737;13097;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"97";112001702;"2020-10-01";3919418;12278;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"98";110801786;"2020-11-01";4981149;12735;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"99";103301787;"2020-12-01";4868566;12606;"2901007";"NORDESTE";"BAHIA";"Amargosa"
"100";101001902;"2020-04-01";5965200;8026;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"101";104101666;"2020-05-01";6573600;8829;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"102";112601541;"2020-06-01";4883400;6324;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"103";109501562;"2020-07-01";6645600;9044;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"104";106701503;"2020-08-01";6075600;8169;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"105";104201699;"2020-09-01";4213473;8657;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"106";111001837;"2020-10-01";2923791;8035;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"107";104901725;"2020-11-01";3636019;8311;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"108";109001874;"2020-12-01";3395944;8122;"2901106";"NORDESTE";"BAHIA";"Amélia Rodrigues"
"109";106801927;"2020-04-01";4118400;6053;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"110";105201844;"2020-05-01";4379400;6370;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"111";104701928;"2020-06-01";3366600;4849;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"112";112402023;"2020-07-01";4386000;6442;"2901155";"NORDESTE";"BAHIA";"América Dourada"
"113";114501605;"2020-08-01";4050600;5924;"2901155";"NORDESTE";"BAHIA";"América Dourada"
